ID,Protocol,Vision
s1054,Youtube,2
s1055,Youtube,2
s1056,VOD,2
s1057,Youtube,2
s1058,VOD,2
s1059,VOD,2
s1060,VOD,2
s1061,VOD,2
s1062,Youtube,2
s1063,VOD,2
s1064,VOD,2
s1065,VOD,2
s1066,VOD,2
s1067,Youtube,2
s1068,Youtube,2
s1069,VOD,2
s1070,VOD,2
s1071,VOD,2
s1072,Youtube,2
s1073,Youtube,2
s1074,Youtube,2
s1075,VOD,2
s1076,VOD,2
s1077,Youtube,2
s1078,Youtube,2
s1079,VOD,2
s1080,Youtube,2
s1081,VOD,2
s1082,Youtube,2
s1083,VOD,2
s1084,VOD,2
s1085,Youtube,2
s1086,Youtube,2
s1087,VOD,2
s1088,Youtube,2
s1089,Youtube,2
s1090,VOD,2
s1091,VOD,2
s1092,Youtube,2
s1093,Youtube,2
s1325,Youtube,2
s1094,Youtube,2
s1095,Youtube,2
s1096,Youtube,2
s1097,VOD,2
s1098,VOD,2
s1099,VOD,2
s1100,VOD,2
s1101,VOD,2
s1102,Youtube,2
s1103,Youtube,2
s1104,VOD,2
s1105,VOD,2
s1106,Youtube,2
s1107,VOD,2
s1108,Youtube,2
s1109,Youtube,2
s1110,VOD,2
s1111,Youtube,2
s1113,Youtube,2
s1114,VOD,2
s1115,VOD,2
s1116,VOD,2
s1118,Youtube,2
s1119,VOD,2
s1120,Youtube,2
s1122,Youtube,2
s1123,Youtube,2
s1124,Youtube,2
s1126,VOD,2
s1127,VOD,2
s1128,Youtube,2
s1129,VOD,2
s1130,Youtube,2
s1133,VOD,2
s1134,VOD,2
s1135,Youtube,2
s1136,VOD,2
s1137,Youtube,2
s1138,Youtube,2
s1139,Youtube,2
s1141,VOD,2
s1142,Youtube,2
s1143,Youtube,2
s1144,Youtube,2
s1145,Youtube,2
s1146,VOD,2
s1147,VOD,2
s1148,Youtube,2
s1149,VOD,2
s1151,VOD,2
s1152,Youtube,2
s1153,VOD,2
s1154,VOD,2
